match_id,season,match_phase,team1,team2,team1_short,team2_short,venue,city,pitch_type,toss_winner,toss_decision,team1_home,team2_home,team1_strength,team2_strength,team1_score,team2_score,winner,winner_short,win_margin,player_of_match
43,2018,league,Mumbai Indians,Gujarat Titans,MI,GT,"Wankhede Stadium, Mumbai",Mumbai,batting,Mumbai Indians,field,1,0,88,86,183,194,Gujarat Titans,GT,7 wickets,Rahul Tewatia
44,2022,league,Delhi Capitals,Sunrisers Hyderabad,DC,SRH,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Sunrisers Hyderabad,field,0,1,80,78,130,147,Sunrisers Hyderabad,SRH,4 wickets,Heinrich Klaasen
45,2020,league,Royal Challengers Bangalore,Chennai Super Kings,RCB,CSK,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Chennai Super Kings,bat,0,1,82,90,126,135,Chennai Super Kings,CSK,35 runs,MS Dhoni
46,2021,league,Royal Challengers Bangalore,Mumbai Indians,RCB,MI,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Mumbai Indians,bat,1,0,82,88,169,129,Royal Challengers Bangalore,RCB,2 wickets,Glenn Maxwell
47,2025,league,Rajasthan Royals,Sunrisers Hyderabad,RR,SRH,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Sunrisers Hyderabad,bat,0,1,83,78,172,142,Rajasthan Royals,RR,1 wickets,Yashasvi Jaiswal
48,2023,league,Gujarat Titans,Delhi Capitals,GT,DC,"BRSABV Ekana Stadium, Lucknow",Lucknow,balanced,Gujarat Titans,bat,0,0,86,80,195,200,Delhi Capitals,DC,2 wickets,Tristan Stubbs
49,2022,league,Kolkata Knight Riders,Punjab Kings,KKR,PBKS,"IS Bindra Stadium, Mohali",Mohali,pace,Kolkata Knight Riders,field,0,1,85,75,151,161,Punjab Kings,PBKS,10 runs,Kagiso Rabada
50,2026,league,Kolkata Knight Riders,Sunrisers Hyderabad,KKR,SRH,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Kolkata Knight Riders,bat,0,1,85,78,189,210,Sunrisers Hyderabad,SRH,3 runs,T Natarajan
51,2021,league,Delhi Capitals,Sunrisers Hyderabad,DC,SRH,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Sunrisers Hyderabad,field,1,0,80,78,207,231,Sunrisers Hyderabad,SRH,6 wickets,Travis Head
52,2026,league,Delhi Capitals,Lucknow Super Giants,DC,LSG,"BRSABV Ekana Stadium, Lucknow",Lucknow,balanced,Lucknow Super Giants,bat,0,1,80,81,148,166,Lucknow Super Giants,LSG,2 wickets,Ravi Bishnoi
53,2020,league,Rajasthan Royals,Gujarat Titans,RR,GT,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Gujarat Titans,field,0,0,83,86,196,225,Gujarat Titans,GT,37 runs,Rahul Tewatia
54,2020,playoff,Gujarat Titans,Punjab Kings,GT,PBKS,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Punjab Kings,field,0,0,86,75,161,189,Punjab Kings,PBKS,20 runs,Sam Curran
55,2018,league,Delhi Capitals,Kolkata Knight Riders,DC,KKR,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Delhi Capitals,field,1,0,80,85,120,113,Delhi Capitals,DC,34 runs,David Warner
56,2026,league,Kolkata Knight Riders,Royal Challengers Bangalore,KKR,RCB,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Royal Challengers Bangalore,field,0,0,85,82,149,141,Kolkata Knight Riders,KKR,15 runs,Shreyas Iyer
57,2018,league,Chennai Super Kings,Mumbai Indians,CSK,MI,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Mumbai Indians,bat,1,0,90,88,187,205,Mumbai Indians,MI,10 runs,Tim David
58,2020,league,Sunrisers Hyderabad,Kolkata Knight Riders,SRH,KKR,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Sunrisers Hyderabad,bat,0,0,78,85,170,174,Kolkata Knight Riders,KKR,2 wickets,Venkatesh Iyer
59,2020,league,Sunrisers Hyderabad,Royal Challengers Bangalore,SRH,RCB,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Sunrisers Hyderabad,field,0,1,78,82,188,211,Royal Challengers Bangalore,RCB,5 wickets,Rajat Patidar
60,2022,league,Gujarat Titans,Delhi Capitals,GT,DC,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Delhi Capitals,field,0,1,86,80,170,192,Delhi Capitals,DC,12 runs,Kuldeep Yadav
61,2022,league,Mumbai Indians,Kolkata Knight Riders,MI,KKR,"Eden Gardens, Kolkata",Kolkata,balanced,Kolkata Knight Riders,field,0,1,88,85,206,178,Mumbai Indians,MI,42 runs,Tim David
62,2024,league,Delhi Capitals,Mumbai Indians,DC,MI,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Delhi Capitals,field,1,0,80,88,189,191,Mumbai Indians,MI,10 runs,Suryakumar Yadav
63,2018,league,Lucknow Super Giants,Mumbai Indians,LSG,MI,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Lucknow Super Giants,field,0,0,81,88,139,133,Lucknow Super Giants,LSG,49 runs,Quinton de Kock
64,2022,league,Sunrisers Hyderabad,Chennai Super Kings,SRH,CSK,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Sunrisers Hyderabad,field,0,1,78,90,227,255,Chennai Super Kings,CSK,17 runs,Deepak Chahar
65,2023,league,Lucknow Super Giants,Royal Challengers Bangalore,LSG,RCB,"BRSABV Ekana Stadium, Lucknow",Lucknow,balanced,Lucknow Super Giants,bat,1,0,81,82,242,264,Royal Challengers Bangalore,RCB,20 runs,Wanindu Hasaranga
66,2018,league,Kolkata Knight Riders,Delhi Capitals,KKR,DC,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Kolkata Knight Riders,field,0,0,85,80,123,126,Delhi Capitals,DC,7 wickets,David Warner
67,2021,league,Lucknow Super Giants,Gujarat Titans,LSG,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Gujarat Titans,field,0,1,81,86,132,143,Gujarat Titans,GT,5 runs,Shubman Gill
68,2023,league,Royal Challengers Bangalore,Punjab Kings,RCB,PBKS,"IS Bindra Stadium, Mohali",Mohali,pace,Punjab Kings,bat,0,1,82,75,98,80,Royal Challengers Bangalore,RCB,1 wickets,Faf du Plessis
69,2020,playoff,Delhi Capitals,Lucknow Super Giants,DC,LSG,"BRSABV Ekana Stadium, Lucknow",Lucknow,balanced,Lucknow Super Giants,bat,0,1,80,81,197,206,Lucknow Super Giants,LSG,7 wickets,KL Rahul
70,2025,league,Mumbai Indians,Royal Challengers Bangalore,MI,RCB,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Royal Challengers Bangalore,field,0,0,88,82,137,166,Royal Challengers Bangalore,RCB,33 runs,Virat Kohli
71,2019,league,Kolkata Knight Riders,Sunrisers Hyderabad,KKR,SRH,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Sunrisers Hyderabad,field,0,1,85,78,164,174,Sunrisers Hyderabad,SRH,43 runs,T Natarajan
72,2024,league,Chennai Super Kings,Lucknow Super Giants,CSK,LSG,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Chennai Super Kings,field,0,0,90,81,187,168,Chennai Super Kings,CSK,3 wickets,MS Dhoni
73,2023,playoff,Gujarat Titans,Sunrisers Hyderabad,GT,SRH,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Sunrisers Hyderabad,field,0,1,86,78,151,152,Sunrisers Hyderabad,SRH,5 wickets,T Natarajan
74,2023,playoff,Sunrisers Hyderabad,Kolkata Knight Riders,SRH,KKR,"Eden Gardens, Kolkata",Kolkata,balanced,Kolkata Knight Riders,field,0,1,78,85,162,155,Sunrisers Hyderabad,SRH,5 wickets,Travis Head
75,2018,league,Gujarat Titans,Sunrisers Hyderabad,GT,SRH,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Gujarat Titans,field,1,0,86,78,150,129,Gujarat Titans,GT,16 runs,Wriddhiman Saha
76,2022,league,Lucknow Super Giants,Chennai Super Kings,LSG,CSK,"IS Bindra Stadium, Mohali",Mohali,pace,Lucknow Super Giants,bat,0,0,81,90,180,200,Chennai Super Kings,CSK,1 wickets,Ruturaj Gaikwad
77,2019,league,Delhi Capitals,Lucknow Super Giants,DC,LSG,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Lucknow Super Giants,field,1,0,80,81,145,117,Delhi Capitals,DC,5 runs,Kuldeep Yadav
78,2018,league,Delhi Capitals,Sunrisers Hyderabad,DC,SRH,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Delhi Capitals,field,1,0,80,78,141,147,Sunrisers Hyderabad,SRH,2 wickets,Aiden Markram
79,2022,final,Royal Challengers Bangalore,Lucknow Super Giants,RCB,LSG,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Lucknow Super Giants,bat,1,0,82,81,153,172,Lucknow Super Giants,LSG,3 wickets,Quinton de Kock
80,2021,playoff,Gujarat Titans,Lucknow Super Giants,GT,LSG,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Gujarat Titans,bat,0,0,86,81,198,173,Gujarat Titans,GT,3 wickets,Hardik Pandya
81,2023,league,Kolkata Knight Riders,Royal Challengers Bangalore,KKR,RCB,"Wankhede Stadium, Mumbai",Mumbai,batting,Royal Challengers Bangalore,field,0,0,85,82,178,183,Royal Challengers Bangalore,RCB,20 runs,Mohammed Siraj
82,2018,league,Delhi Capitals,Lucknow Super Giants,DC,LSG,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Lucknow Super Giants,field,1,0,80,81,156,121,Delhi Capitals,DC,3 wickets,Anrich Nortje
83,2022,league,Mumbai Indians,Kolkata Knight Riders,MI,KKR,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Kolkata Knight Riders,bat,0,0,88,85,146,109,Mumbai Indians,MI,25 runs,Suryakumar Yadav
84,2025,playoff,Lucknow Super Giants,Gujarat Titans,LSG,GT,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Lucknow Super Giants,field,0,1,81,86,192,168,Lucknow Super Giants,LSG,1 wickets,Marcus Stoinis
85,2018,league,Rajasthan Royals,Lucknow Super Giants,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,batting,Lucknow Super Giants,bat,0,0,83,81,238,234,Rajasthan Royals,RR,4 wickets,Trent Boult
86,2022,final,Lucknow Super Giants,Gujarat Titans,LSG,GT,"IS Bindra Stadium, Mohali",Mohali,pace,Gujarat Titans,bat,0,0,81,86,116,99,Lucknow Super Giants,LSG,28 runs,Marcus Stoinis
87,2019,league,Kolkata Knight Riders,Rajasthan Royals,KKR,RR,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Kolkata Knight Riders,bat,0,0,85,83,152,115,Kolkata Knight Riders,KKR,2 wickets,Sunil Narine
88,2022,league,Punjab Kings,Kolkata Knight Riders,PBKS,KKR,"Eden Gardens, Kolkata",Kolkata,balanced,Kolkata Knight Riders,field,0,1,75,85,165,193,Kolkata Knight Riders,KKR,6 wickets,Rinku Singh
89,2022,final,Delhi Capitals,Kolkata Knight Riders,DC,KKR,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Delhi Capitals,field,1,0,80,85,210,216,Kolkata Knight Riders,KKR,42 runs,Sunil Narine
90,2022,league,Sunrisers Hyderabad,Mumbai Indians,SRH,MI,"Wankhede Stadium, Mumbai",Mumbai,batting,Sunrisers Hyderabad,field,0,1,78,88,194,157,Sunrisers Hyderabad,SRH,16 runs,Abhishek Sharma
91,2018,league,Mumbai Indians,Sunrisers Hyderabad,MI,SRH,"Wankhede Stadium, Mumbai",Mumbai,batting,Mumbai Indians,field,1,0,88,78,160,185,Sunrisers Hyderabad,SRH,7 wickets,Nitish Kumar Reddy
92,2019,playoff,Rajasthan Royals,Delhi Capitals,RR,DC,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Delhi Capitals,bat,0,0,83,80,173,129,Rajasthan Royals,RR,5 runs,Jos Buttler
93,2019,league,Chennai Super Kings,Royal Challengers Bangalore,CSK,RCB,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Royal Challengers Bangalore,field,0,0,90,82,152,118,Chennai Super Kings,CSK,7 wickets,Ravindra Jadeja
94,2022,playoff,Rajasthan Royals,Lucknow Super Giants,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,batting,Lucknow Super Giants,field,0,0,83,81,104,80,Rajasthan Royals,RR,2 wickets,Trent Boult
95,2021,league,Royal Challengers Bangalore,Punjab Kings,RCB,PBKS,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Punjab Kings,field,1,0,82,75,198,217,Punjab Kings,PBKS,48 runs,Jitesh Sharma
96,2022,playoff,Delhi Capitals,Chennai Super Kings,DC,CSK,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Chennai Super Kings,field,1,0,80,90,160,168,Chennai Super Kings,CSK,24 runs,Ravindra Jadeja
97,2022,playoff,Punjab Kings,Royal Challengers Bangalore,PBKS,RCB,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Punjab Kings,field,0,0,75,82,135,156,Royal Challengers Bangalore,RCB,37 runs,Glenn Maxwell
98,2026,league,Gujarat Titans,Lucknow Super Giants,GT,LSG,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Gujarat Titans,field,1,0,86,81,179,196,Lucknow Super Giants,LSG,7 wickets,Quinton de Kock
99,2022,league,Lucknow Super Giants,Gujarat Titans,LSG,GT,"Arun Jaitley Stadium, Delhi",Delhi,balanced,Lucknow Super Giants,field,0,0,81,86,171,198,Gujarat Titans,GT,6 wickets,Rashid Khan
100,2019,league,Mumbai Indians,Delhi Capitals,MI,DC,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,balanced,Mumbai Indians,field,0,0,88,80,200,228,Delhi Capitals,DC,2 wickets,Jake Fraser-McGurk
101,2019,league,Chennai Super Kings,Mumbai Indians,CSK,MI,"M.A. Chidambaram Stadium, Chennai",Chennai,spin,Chennai Super Kings,field,1,0,90,88,161,169,Mumbai Indians,MI,6 wickets,Ishan Kishan
102,2018,league,Gujarat Titans,Royal Challengers Bangalore,GT,RCB,"IS Bindra Stadium, Mohali",Mohali,pace,Royal Challengers Bangalore,bat,0,0,86,82,125,137,Royal Challengers Bangalore,RCB,3 wickets,Virat Kohli
103,2019,league,Lucknow Super Giants,Rajasthan Royals,LSG,RR,"BRSABV Ekana Stadium, Lucknow",Lucknow,balanced,Lucknow Super Giants,bat,1,0,81,83,120,136,Rajasthan Royals,RR,23 runs,Yuzvendra Chahal
104,2021,league,Royal Challengers Bangalore,Gujarat Titans,RCB,GT,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Gujarat Titans,field,1,0,82,86,152,173,Gujarat Titans,GT,7 wickets,Shubman Gill
105,2021,league,Mumbai Indians,Gujarat Titans,MI,GT,"Wankhede Stadium, Mumbai",Mumbai,batting,Gujarat Titans,bat,1,0,88,86,213,186,Mumbai Indians,MI,3 runs,Suryakumar Yadav
106,2020,league,Sunrisers Hyderabad,Kolkata Knight Riders,SRH,KKR,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Kolkata Knight Riders,field,1,0,78,85,99,95,Sunrisers Hyderabad,SRH,39 runs,Abhishek Sharma
107,2024,league,Kolkata Knight Riders,Sunrisers Hyderabad,KKR,SRH,"Rajiv Gandhi Stadium, Hyderabad",Hyderabad,balanced,Sunrisers Hyderabad,bat,0,1,85,78,177,194,Sunrisers Hyderabad,SRH,20 runs,Travis Head
108,2020,final,Sunrisers Hyderabad,Rajasthan Royals,SRH,RR,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Sunrisers Hyderabad,field,0,1,78,83,190,168,Sunrisers Hyderabad,SRH,16 runs,Travis Head
109,2020,league,Kolkata Knight Riders,Sunrisers Hyderabad,KKR,SRH,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Sunrisers Hyderabad,field,0,0,85,78,250,245,Kolkata Knight Riders,KKR,3 wickets,Sunil Narine
110,2026,league,Chennai Super Kings,Gujarat Titans,CSK,GT,"Eden Gardens, Kolkata",Kolkata,balanced,Chennai Super Kings,field,0,0,90,86,167,130,Chennai Super Kings,CSK,48 runs,Ravindra Jadeja
111,2020,league,Chennai Super Kings,Mumbai Indians,CSK,MI,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Mumbai Indians,field,0,0,90,88,208,228,Mumbai Indians,MI,3 wickets,Jasprit Bumrah
112,2025,league,Mumbai Indians,Gujarat Titans,MI,GT,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Mumbai Indians,bat,0,0,88,86,214,182,Mumbai Indians,MI,19 runs,Jasprit Bumrah
113,2023,league,Kolkata Knight Riders,Chennai Super Kings,KKR,CSK,"M. Chinnaswamy Stadium, Bangalore",Bangalore,batting,Kolkata Knight Riders,bat,0,0,85,90,155,178,Chennai Super Kings,CSK,4 wickets,Ravindra Jadeja
114,2024,playoff,Royal Challengers Bangalore,Chennai Super Kings,RCB,CSK,"Sawai Mansingh Stadium, Jaipur",Jaipur,batting,Chennai Super Kings,bat,0,0,82,90,183,161,Royal Challengers Bangalore,RCB,7 wickets,Glenn Maxwell
115,2022,league,Delhi Capitals,Punjab Kings,DC,PBKS,"IS Bindra Stadium, Mohali",Mohali,pace,Delhi Capitals,field,0,1,80,75,123,85,Delhi Capitals,DC,4 runs,Kuldeep Yadav
