match_id,team1,team2,venue,pitch_type,match_format,toss_winner,toss_decision,team1_home,team2_home,team1_strength,team2_strength,team1_score,team2_score,winner
129,Bangladesh,Australia,"Eden Gardens, Kolkata",balanced,ODI,Bangladesh,field,0,0,65,90,252,211,Bangladesh
130,South Africa,Australia,"Lord's, London",pace,T20,Australia,field,0,0,84,90,148,145,South Africa
131,Sri Lanka,Bangladesh,"Gaddafi Stadium, Lahore",spin,T20,Sri Lanka,field,0,0,72,65,134,160,Bangladesh
132,Bangladesh,England,"MA Chidambaram Stadium, Chennai",spin,T20,Bangladesh,field,0,0,65,85,138,153,England
133,Sri Lanka,West Indies,Sydney Cricket Ground,balanced,ODI,West Indies,bat,0,0,72,68,272,254,Sri Lanka
134,India,Afghanistan,"Eden Gardens, Kolkata",balanced,ODI,Afghanistan,field,1,0,92,70,227,249,Afghanistan
135,Afghanistan,Australia,"R. Premadasa Stadium, Colombo",spin,ODI,Afghanistan,field,0,0,70,90,276,321,Australia
136,Bangladesh,West Indies,"R. Premadasa Stadium, Colombo",spin,T20,West Indies,bat,0,0,65,68,130,148,West Indies
137,South Africa,Afghanistan,"Kensington Oval, Barbados",batting,ODI,South Africa,field,0,0,84,70,292,302,Afghanistan
138,Bangladesh,Afghanistan,"Newlands, Cape Town",pace,ODI,Afghanistan,field,0,0,65,70,243,267,Afghanistan
139,India,England,"Lord's, London",pace,T20,India,bat,0,1,92,85,151,140,India
140,New Zealand,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,ODI,Sri Lanka,field,0,0,83,72,278,285,Sri Lanka
141,England,South Africa,Melbourne Cricket Ground,pace,ODI,England,field,0,0,85,84,177,199,South Africa
142,England,Bangladesh,"Newlands, Cape Town",pace,T20,England,field,0,0,85,65,90,67,England
143,South Africa,Sri Lanka,"Lord's, London",pace,T20,Sri Lanka,bat,0,0,84,72,134,141,Sri Lanka
144,India,Afghanistan,"The Oval, London",balanced,ODI,India,field,0,0,92,70,282,250,India
145,New Zealand,Bangladesh,"MA Chidambaram Stadium, Chennai",spin,T20,New Zealand,bat,0,0,83,65,157,185,Bangladesh
146,Pakistan,England,"Eden Gardens, Kolkata",balanced,ODI,Pakistan,field,0,0,80,85,222,250,England
147,Pakistan,West Indies,"R. Premadasa Stadium, Colombo",spin,ODI,West Indies,field,0,0,80,68,273,303,West Indies
148,Sri Lanka,India,"Newlands, Cape Town",pace,T20,Sri Lanka,field,0,0,72,92,152,181,India
149,Sri Lanka,New Zealand,"Eden Gardens, Kolkata",balanced,ODI,Sri Lanka,field,0,0,72,83,188,216,New Zealand
150,Afghanistan,Pakistan,"Eden Gardens, Kolkata",balanced,ODI,Pakistan,field,0,0,70,80,310,340,Pakistan
151,Sri Lanka,West Indies,Sydney Cricket Ground,balanced,T20,Sri Lanka,field,0,0,72,68,143,95,Sri Lanka
152,Australia,New Zealand,"Eden Gardens, Kolkata",balanced,T20,Australia,field,0,0,90,83,142,102,Australia
153,India,Afghanistan,Dubai International Stadium,spin,ODI,Afghanistan,bat,0,0,92,70,248,276,Afghanistan
154,Australia,Bangladesh,"Hagley Oval, Christchurch",pace,ODI,Australia,field,0,0,90,65,211,177,Australia
155,Australia,Sri Lanka,Dubai International Stadium,spin,ODI,Sri Lanka,field,0,0,90,72,350,380,Sri Lanka
156,West Indies,Afghanistan,"Hagley Oval, Christchurch",pace,T20,West Indies,field,0,0,68,70,146,132,West Indies
157,India,Sri Lanka,"Newlands, Cape Town",pace,T20,India,field,0,0,92,72,138,147,Sri Lanka
158,South Africa,England,"Hagley Oval, Christchurch",pace,ODI,England,bat,0,0,84,85,186,147,South Africa
159,England,Afghanistan,"The Oval, London",balanced,ODI,England,field,1,0,85,70,187,174,England
160,Australia,Pakistan,"Lord's, London",pace,T20,Australia,bat,0,0,90,80,172,125,Australia
161,Sri Lanka,Australia,"Kensington Oval, Barbados",batting,T20,Australia,bat,0,0,72,90,185,179,Sri Lanka
162,Bangladesh,Pakistan,"Hagley Oval, Christchurch",pace,T20,Pakistan,bat,0,0,65,80,214,233,Pakistan
163,New Zealand,West Indies,Sydney Cricket Ground,balanced,T20,New Zealand,field,0,0,83,68,171,154,New Zealand
164,South Africa,Australia,"Hagley Oval, Christchurch",pace,ODI,South Africa,field,0,0,84,90,174,204,Australia
165,New Zealand,Afghanistan,Dubai International Stadium,spin,ODI,Afghanistan,bat,0,0,83,70,208,197,New Zealand
166,West Indies,Australia,"Hagley Oval, Christchurch",pace,ODI,Australia,field,0,0,68,90,153,111,West Indies
167,West Indies,Pakistan,"Eden Gardens, Kolkata",balanced,T20,West Indies,bat,0,0,68,80,132,124,West Indies
168,Pakistan,England,"Lord's, London",pace,T20,England,field,0,1,80,85,90,106,England
169,England,West Indies,Sydney Cricket Ground,balanced,ODI,England,field,0,0,85,68,220,195,England
170,Australia,Pakistan,"Eden Gardens, Kolkata",balanced,T20,Australia,bat,0,0,90,80,114,138,Pakistan
171,Australia,West Indies,"MA Chidambaram Stadium, Chennai",spin,T20,West Indies,bat,0,0,90,68,169,150,Australia
172,New Zealand,England,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,England,field,0,0,83,85,251,289,England
173,Australia,New Zealand,"Eden Gardens, Kolkata",balanced,T20,Australia,field,0,0,90,83,167,183,New Zealand
174,England,Australia,"The Oval, London",balanced,ODI,England,bat,1,0,85,90,319,293,England
175,West Indies,India,"The Oval, London",balanced,T20,West Indies,bat,0,0,68,92,188,149,West Indies
176,West Indies,Australia,"Shere Bangla Stadium, Dhaka",spin,T20,Australia,bat,0,0,68,90,139,123,West Indies
177,New Zealand,South Africa,"Hagley Oval, Christchurch",pace,ODI,South Africa,field,1,0,83,84,286,227,New Zealand
178,England,South Africa,"Kensington Oval, Barbados",batting,ODI,England,bat,0,0,85,84,283,315,South Africa
179,India,England,"Eden Gardens, Kolkata",balanced,ODI,England,bat,1,0,92,85,197,181,India
180,Afghanistan,Pakistan,"Newlands, Cape Town",pace,T20,Afghanistan,bat,0,0,70,80,181,205,Pakistan
181,England,Afghanistan,Dubai International Stadium,spin,ODI,England,bat,0,0,85,70,290,339,Afghanistan
182,Afghanistan,West Indies,"Kensington Oval, Barbados",batting,T20,Afghanistan,field,0,1,70,68,157,168,West Indies
183,Australia,Afghanistan,"R. Premadasa Stadium, Colombo",spin,T20,Australia,bat,0,0,90,70,168,125,Australia
184,West Indies,New Zealand,"Kensington Oval, Barbados",batting,ODI,New Zealand,field,1,0,68,83,312,334,New Zealand
185,England,West Indies,"The Oval, London",balanced,T20,England,bat,1,0,85,68,234,222,England
186,India,England,"Wankhede Stadium, Mumbai",batting,ODI,England,field,1,0,92,85,303,327,England
187,New Zealand,Pakistan,"Shere Bangla Stadium, Dhaka",spin,T20,New Zealand,field,0,0,83,80,199,190,New Zealand
188,Australia,Bangladesh,"MA Chidambaram Stadium, Chennai",spin,T20,Australia,field,0,0,90,65,141,154,Bangladesh
189,West Indies,Sri Lanka,"Hagley Oval, Christchurch",pace,ODI,West Indies,field,0,0,68,72,248,274,Sri Lanka
190,Pakistan,South Africa,"Kensington Oval, Barbados",batting,T20,Pakistan,field,0,0,80,84,218,169,Pakistan
191,Australia,New Zealand,"R. Premadasa Stadium, Colombo",spin,T20,New Zealand,field,0,0,90,83,130,94,Australia
192,India,England,"Kensington Oval, Barbados",batting,ODI,India,bat,0,0,92,85,314,282,India
193,India,Australia,"R. Premadasa Stadium, Colombo",spin,ODI,India,bat,0,0,92,90,328,362,Australia
194,West Indies,India,Dubai International Stadium,spin,T20,West Indies,field,0,0,68,92,193,198,India
195,Bangladesh,India,"The Oval, London",balanced,T20,India,bat,0,0,65,92,171,184,India
196,West Indies,New Zealand,"Newlands, Cape Town",pace,T20,West Indies,field,0,0,68,83,103,84,West Indies
197,Pakistan,Sri Lanka,"Wankhede Stadium, Mumbai",batting,T20,Sri Lanka,field,0,0,80,72,207,216,Sri Lanka
198,Afghanistan,India,"M. Chinnaswamy Stadium, Bangalore",batting,T20,Afghanistan,bat,0,1,70,92,193,197,India
199,England,Bangladesh,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,Bangladesh,field,0,0,85,65,326,261,England
200,Pakistan,Bangladesh,"Lord's, London",pace,ODI,Pakistan,bat,0,0,80,65,244,183,Pakistan
201,Sri Lanka,Bangladesh,Sydney Cricket Ground,balanced,ODI,Sri Lanka,bat,0,0,72,65,241,278,Bangladesh
202,Sri Lanka,South Africa,"Lord's, London",pace,ODI,South Africa,field,0,0,72,84,227,258,South Africa
203,New Zealand,South Africa,"Newlands, Cape Town",pace,ODI,New Zealand,field,0,1,83,84,337,297,New Zealand
204,New Zealand,Bangladesh,"Lord's, London",pace,ODI,New Zealand,field,0,0,83,65,189,179,New Zealand
205,Australia,Bangladesh,"Lord's, London",pace,ODI,Bangladesh,field,0,0,90,65,214,249,Bangladesh
206,Sri Lanka,West Indies,"M. Chinnaswamy Stadium, Bangalore",batting,T20,West Indies,field,0,0,72,68,226,218,Sri Lanka
207,New Zealand,Sri Lanka,"Shere Bangla Stadium, Dhaka",spin,ODI,Sri Lanka,field,0,0,83,72,326,306,New Zealand
208,Bangladesh,Afghanistan,"R. Premadasa Stadium, Colombo",spin,ODI,Bangladesh,bat,0,0,65,70,282,296,Afghanistan
209,Afghanistan,Sri Lanka,Sydney Cricket Ground,balanced,ODI,Afghanistan,bat,0,0,70,72,241,264,Sri Lanka
210,Sri Lanka,India,"Newlands, Cape Town",pace,T20,India,bat,0,0,72,92,180,152,Sri Lanka
211,Australia,Pakistan,"Gaddafi Stadium, Lahore",spin,ODI,Pakistan,field,0,1,90,80,186,215,Pakistan
212,Sri Lanka,Australia,"M. Chinnaswamy Stadium, Bangalore",batting,T20,Sri Lanka,field,0,0,72,90,165,174,Australia
213,New Zealand,Bangladesh,"MA Chidambaram Stadium, Chennai",spin,ODI,New Zealand,bat,0,0,83,65,236,281,Bangladesh
214,Australia,Bangladesh,"Gaddafi Stadium, Lahore",spin,T20,Bangladesh,field,0,0,90,65,158,168,Bangladesh
215,Bangladesh,West Indies,"Hagley Oval, Christchurch",pace,ODI,Bangladesh,bat,0,0,65,68,324,364,West Indies
216,England,Pakistan,Dubai International Stadium,spin,ODI,Pakistan,field,0,1,85,80,237,253,Pakistan
217,West Indies,India,"Kensington Oval, Barbados",batting,T20,India,bat,1,0,68,92,198,207,India
218,England,New Zealand,"Newlands, Cape Town",pace,ODI,New Zealand,field,0,0,85,83,247,287,New Zealand
219,Sri Lanka,India,Sydney Cricket Ground,balanced,ODI,India,field,0,0,72,92,207,202,Sri Lanka
220,South Africa,West Indies,Melbourne Cricket Ground,pace,T20,West Indies,field,0,0,84,68,195,210,West Indies
221,Pakistan,Australia,"Gaddafi Stadium, Lahore",spin,T20,Pakistan,bat,1,0,80,90,190,207,Australia
222,England,Australia,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,England,field,0,0,85,90,336,359,Australia
223,Australia,South Africa,"Kensington Oval, Barbados",batting,ODI,South Africa,field,0,0,90,84,333,293,Australia
224,India,Sri Lanka,"Hagley Oval, Christchurch",pace,T20,Sri Lanka,field,0,0,92,72,141,129,India
225,Afghanistan,South Africa,"Eden Gardens, Kolkata",balanced,ODI,Afghanistan,field,0,0,70,84,283,208,Afghanistan
226,Pakistan,South Africa,"Wankhede Stadium, Mumbai",batting,ODI,South Africa,field,0,0,80,84,394,426,South Africa
227,England,Australia,"Newlands, Cape Town",pace,ODI,England,bat,0,0,85,90,357,368,Australia
228,India,Pakistan,"Hagley Oval, Christchurch",pace,T20,India,field,0,0,92,80,144,140,India
229,Sri Lanka,West Indies,"M. Chinnaswamy Stadium, Bangalore",batting,T20,West Indies,field,0,0,72,68,213,179,Sri Lanka
230,Pakistan,New Zealand,"Newlands, Cape Town",pace,T20,New Zealand,field,0,0,80,83,186,212,New Zealand
231,Australia,Sri Lanka,"Hagley Oval, Christchurch",pace,ODI,Australia,bat,0,0,90,72,261,195,Australia
232,West Indies,South Africa,"R. Premadasa Stadium, Colombo",spin,T20,South Africa,field,0,0,68,84,143,162,South Africa
233,New Zealand,Bangladesh,"M. Chinnaswamy Stadium, Bangalore",batting,T20,Bangladesh,bat,0,0,83,65,233,221,New Zealand
234,England,West Indies,"Hagley Oval, Christchurch",pace,ODI,England,field,0,0,85,68,212,162,England
235,South Africa,Afghanistan,"Eden Gardens, Kolkata",balanced,T20,Afghanistan,field,0,0,84,70,139,126,South Africa
236,Australia,Sri Lanka,Sydney Cricket Ground,balanced,T20,Sri Lanka,bat,1,0,90,72,137,148,Sri Lanka
237,South Africa,India,"MA Chidambaram Stadium, Chennai",spin,T20,South Africa,field,0,1,84,92,196,207,India
238,Bangladesh,Afghanistan,"Eden Gardens, Kolkata",balanced,ODI,Afghanistan,field,0,0,65,70,286,304,Afghanistan
239,Bangladesh,West Indies,"Newlands, Cape Town",pace,T20,Bangladesh,field,0,0,65,68,118,130,West Indies
240,West Indies,England,"MA Chidambaram Stadium, Chennai",spin,T20,England,field,0,0,68,85,184,190,England
