innings_id,batsman,team,opponent,venue,pitch_type,match_format,batting_avg,strike_rate,batting_style,batting_position,is_home,opponent_strength,runs_scored,balls_faced,fours,sixes,not_out
37,Steve Smith,Australia,Bangladesh,"Lord's, London",pace,ODI,56.8,86.4,right,4,0,65,12,12,0,0,0
38,Shakib Al Hasan,Bangladesh,Pakistan,Sydney Cricket Ground,balanced,T20,37.8,82.1,left,6,0,80,16,20,1,0,0
39,David Warner,Australia,Sri Lanka,"The Oval, London",balanced,T20,45.3,97.1,left,1,0,72,3,2,0,0,0
40,Sadeera Samarawickrama,Sri Lanka,Bangladesh,"Lord's, London",pace,ODI,31.5,84.3,right,5,0,65,0,1,0,0,0
41,Hashmatullah Shahidi,Afghanistan,India,"Eden Gardens, Kolkata",balanced,ODI,35.6,72.4,left,4,0,92,0,1,0,0,1
42,Aiden Markram,South Africa,Australia,"Newlands, Cape Town",pace,ODI,38.9,87.1,right,3,1,90,1,1,0,0,0
43,Najibullah Zadran,Afghanistan,South Africa,"Hagley Oval, Christchurch",pace,ODI,28.9,108.7,left,6,0,84,8,7,0,0,0
44,Rohit Sharma,India,Afghanistan,"Shere Bangla Stadium, Dhaka",spin,T20,49.7,91.5,right,2,0,70,5,5,0,0,0
45,Steve Smith,Australia,Bangladesh,"The Oval, London",balanced,ODI,56.8,86.4,right,4,0,65,39,45,2,0,0
46,Saud Shakeel,Pakistan,Bangladesh,"The Oval, London",balanced,ODI,46.3,82.4,left,6,0,65,64,88,6,1,0
47,Kusal Mendis,Sri Lanka,India,"MA Chidambaram Stadium, Chennai",spin,ODI,33.8,89.2,right,3,0,92,88,88,8,1,0
48,David Miller,South Africa,Sri Lanka,"Eden Gardens, Kolkata",balanced,T20,36.8,101.4,left,6,0,72,1,1,0,0,0
49,Ben Stokes,England,New Zealand,Melbourne Cricket Ground,pace,ODI,40.1,95.8,left,6,0,83,27,27,2,0,0
50,KL Rahul,India,Afghanistan,"Wankhede Stadium, Mumbai",batting,T20,47.5,87.3,right,3,1,70,18,25,1,0,0
51,Saud Shakeel,Pakistan,West Indies,"Gaddafi Stadium, Lahore",spin,T20,46.3,82.4,left,5,1,68,10,13,1,0,0
52,Kusal Mendis,Sri Lanka,Australia,"Gaddafi Stadium, Lahore",spin,ODI,33.8,89.2,right,4,0,90,35,35,2,0,0
53,Babar Azam,Pakistan,India,"Lord's, London",pace,T20,56.2,88.9,right,4,0,92,9,12,0,0,0
54,Charith Asalanka,Sri Lanka,South Africa,"Hagley Oval, Christchurch",pace,T20,35.2,92.1,left,5,0,84,3,2,0,0,1
55,Heinrich Klaasen,South Africa,Bangladesh,"R. Premadasa Stadium, Colombo",spin,ODI,41.5,112.7,right,6,0,65,16,17,1,0,0
56,Shimron Hetmyer,West Indies,Sri Lanka,"R. Premadasa Stadium, Colombo",spin,T20,31.2,98.7,left,6,0,72,2,1,0,0,0
57,Rassie van der Dussen,South Africa,West Indies,"Hagley Oval, Christchurch",pace,ODI,48.2,84.5,right,6,0,68,8,9,0,0,1
58,Sadeera Samarawickrama,Sri Lanka,India,"Shere Bangla Stadium, Dhaka",spin,T20,31.5,84.3,right,5,0,92,8,8,0,0,0
59,David Warner,Australia,Pakistan,Dubai International Stadium,spin,T20,45.3,97.1,left,2,0,80,11,15,0,0,0
60,David Warner,Australia,Pakistan,"The Oval, London",balanced,ODI,45.3,97.1,left,2,0,80,10,10,0,0,0
61,Rassie van der Dussen,South Africa,India,"MA Chidambaram Stadium, Chennai",spin,T20,48.2,84.5,right,6,0,92,22,20,1,0,0
62,Ben Stokes,England,South Africa,Melbourne Cricket Ground,pace,T20,40.1,95.8,left,6,0,84,2,2,0,0,0
63,Shreyas Iyer,India,Australia,"Shere Bangla Stadium, Dhaka",spin,ODI,44.2,96.7,right,5,0,90,47,62,4,0,0
64,Rohit Sharma,India,Afghanistan,"Eden Gardens, Kolkata",balanced,T20,49.7,91.5,right,2,1,70,76,135,7,0,0
65,Saud Shakeel,Pakistan,Bangladesh,"Shere Bangla Stadium, Dhaka",spin,ODI,46.3,82.4,left,5,0,65,28,41,3,0,1
66,Mahmudullah,Bangladesh,Sri Lanka,"Shere Bangla Stadium, Dhaka",spin,T20,33.9,76.8,right,6,1,72,23,27,1,0,0
67,Fakhar Zaman,Pakistan,India,Sydney Cricket Ground,balanced,T20,42.1,94.3,left,2,0,92,22,20,2,0,0
68,Tom Latham,New Zealand,West Indies,"Newlands, Cape Town",pace,T20,39.8,78.4,left,1,0,68,15,30,1,0,0
69,Charith Asalanka,Sri Lanka,India,Dubai International Stadium,spin,ODI,35.2,92.1,left,5,0,92,9,8,0,0,0
70,Imam-ul-Haq,Pakistan,New Zealand,"The Oval, London",balanced,T20,49.5,79.1,left,2,0,83,0,1,0,0,0
71,Kane Williamson,New Zealand,India,"Gaddafi Stadium, Lahore",spin,ODI,48.5,81.3,right,3,0,92,10,12,0,0,0
72,Shubman Gill,India,Pakistan,"Hagley Oval, Christchurch",pace,ODI,52.3,98.1,right,1,0,80,9,8,0,0,0
73,Steve Smith,Australia,Pakistan,"Gaddafi Stadium, Lahore",spin,T20,56.8,86.4,right,3,0,80,30,28,2,0,0
74,Mohammad Rizwan,Pakistan,Bangladesh,Dubai International Stadium,spin,ODI,44.8,81.2,right,6,0,65,6,7,0,0,0
75,Shubman Gill,India,Sri Lanka,"Wankhede Stadium, Mumbai",batting,T20,52.3,98.1,right,2,1,72,13,11,1,0,0
76,Shreyas Iyer,India,England,"Kensington Oval, Barbados",batting,T20,44.2,96.7,right,5,0,85,0,1,0,0,0
77,Travis Head,Australia,India,Sydney Cricket Ground,balanced,T20,44.9,101.3,left,6,1,92,92,94,7,2,0
78,Quinton de Kock,South Africa,New Zealand,"Hagley Oval, Christchurch",pace,ODI,44.6,96.3,left,1,0,83,29,39,2,0,0
79,Kusal Mendis,Sri Lanka,West Indies,Sydney Cricket Ground,balanced,ODI,33.8,89.2,right,3,0,68,39,38,2,0,0
80,Sadeera Samarawickrama,Sri Lanka,England,"Lord's, London",pace,ODI,31.5,84.3,right,5,0,85,26,29,2,0,0
81,Fakhar Zaman,Pakistan,Afghanistan,Dubai International Stadium,spin,ODI,42.1,94.3,left,2,0,70,37,57,2,0,1
82,Harry Brook,England,Sri Lanka,Dubai International Stadium,spin,T20,48.7,103.2,right,6,0,72,5,4,0,0,1
83,Mitchell Marsh,Australia,Pakistan,"Hagley Oval, Christchurch",pace,T20,38.5,92.6,right,6,0,80,18,18,1,0,0
84,Marnus Labuschagne,Australia,Afghanistan,"Newlands, Cape Town",pace,T20,53.1,84.2,right,4,0,70,12,12,0,0,0
85,Jos Buttler,England,Bangladesh,Sydney Cricket Ground,balanced,ODI,39.8,118.2,right,6,0,65,0,1,0,0,0
86,Devon Conway,New Zealand,Afghanistan,"Gaddafi Stadium, Lahore",spin,ODI,45.2,85.7,left,1,0,70,38,48,3,1,0
87,Pathum Nissanka,Sri Lanka,India,"Wankhede Stadium, Mumbai",batting,T20,39.4,85.6,right,1,0,92,23,27,1,0,0
88,Shreyas Iyer,India,Sri Lanka,Sydney Cricket Ground,balanced,T20,44.2,96.7,right,6,0,72,3,3,0,0,1
89,Heinrich Klaasen,South Africa,West Indies,"Gaddafi Stadium, Lahore",spin,T20,41.5,112.7,right,5,0,68,16,19,1,0,0
90,Jos Buttler,England,India,"Newlands, Cape Town",pace,T20,39.8,118.2,right,6,0,92,6,5,0,0,0
91,Jos Buttler,England,New Zealand,"R. Premadasa Stadium, Colombo",spin,T20,39.8,118.2,right,6,0,83,18,15,1,0,0
92,Rohit Sharma,India,South Africa,"R. Premadasa Stadium, Colombo",spin,T20,49.7,91.5,right,2,0,84,27,38,1,0,0
93,Saud Shakeel,Pakistan,West Indies,"MA Chidambaram Stadium, Chennai",spin,T20,46.3,82.4,left,5,0,68,0,1,0,0,0
94,Pathum Nissanka,Sri Lanka,Bangladesh,"R. Premadasa Stadium, Colombo",spin,ODI,39.4,85.6,right,1,1,65,0,1,0,0,0
95,Tamim Iqbal,Bangladesh,South Africa,"R. Premadasa Stadium, Colombo",spin,ODI,36.1,80.5,left,2,0,84,18,26,1,0,0
96,Babar Azam,Pakistan,New Zealand,"Kensington Oval, Barbados",batting,ODI,56.2,88.9,right,3,0,83,0,1,0,0,0
97,Joe Root,England,Pakistan,Melbourne Cricket Ground,pace,ODI,51.2,87.5,right,3,0,80,36,34,3,0,0
98,Travis Head,Australia,Pakistan,"The Oval, London",balanced,T20,44.9,101.3,left,5,0,80,25,25,1,0,0
99,Najibullah Zadran,Afghanistan,England,"R. Premadasa Stadium, Colombo",spin,T20,28.9,108.7,left,6,0,85,6,6,0,0,0
100,Jonny Bairstow,England,Afghanistan,Sydney Cricket Ground,balanced,T20,42.3,104.5,right,6,0,70,25,18,2,0,0
101,Imam-ul-Haq,Pakistan,India,"Wankhede Stadium, Mumbai",batting,T20,49.5,79.1,left,1,0,92,38,51,3,0,1
102,Mushfiqur Rahim,Bangladesh,New Zealand,"Kensington Oval, Barbados",batting,ODI,36.5,78.9,right,6,0,83,16,25,1,0,0
103,Mohammad Rizwan,Pakistan,Afghanistan,"Kensington Oval, Barbados",batting,T20,44.8,81.2,right,5,0,70,27,30,1,0,1
104,Shai Hope,West Indies,Afghanistan,"The Oval, London",balanced,T20,40.2,78.6,right,2,0,70,9,10,0,0,0
105,Shakib Al Hasan,Bangladesh,Sri Lanka,"Wankhede Stadium, Mumbai",batting,T20,37.8,82.1,left,6,0,72,43,50,3,0,0
106,Rassie van der Dussen,South Africa,West Indies,"Newlands, Cape Town",pace,ODI,48.2,84.5,right,5,1,68,0,1,0,0,1
107,Quinton de Kock,South Africa,West Indies,"MA Chidambaram Stadium, Chennai",spin,T20,44.6,96.3,left,1,0,68,7,8,0,0,0
108,Azmatullah Omarzai,Afghanistan,South Africa,"Wankhede Stadium, Mumbai",batting,ODI,32.4,96.8,right,5,0,84,11,9,1,0,0
109,Aiden Markram,South Africa,West Indies,Dubai International Stadium,spin,ODI,38.9,87.1,right,3,0,68,69,84,7,1,0
110,Dhananjaya de Silva,Sri Lanka,Bangladesh,"Eden Gardens, Kolkata",balanced,ODI,37.1,86.5,right,6,0,65,34,40,3,1,0
111,Heinrich Klaasen,South Africa,West Indies,"Wankhede Stadium, Mumbai",batting,ODI,41.5,112.7,right,5,0,68,2,1,0,0,0
112,Pathum Nissanka,Sri Lanka,South Africa,"Gaddafi Stadium, Lahore",spin,T20,39.4,85.6,right,2,0,84,0,1,0,0,0
113,Shakib Al Hasan,Bangladesh,Pakistan,"Kensington Oval, Barbados",batting,ODI,37.8,82.1,left,6,0,80,3,4,0,0,0
114,Devon Conway,New Zealand,Sri Lanka,"Wankhede Stadium, Mumbai",batting,T20,45.2,85.7,left,1,0,72,26,35,2,0,0
115,Shubman Gill,India,Pakistan,"MA Chidambaram Stadium, Chennai",spin,ODI,52.3,98.1,right,1,1,80,14,12,1,0,1
116,Pathum Nissanka,Sri Lanka,India,Sydney Cricket Ground,balanced,ODI,39.4,85.6,right,2,0,92,15,25,1,0,0
117,Charith Asalanka,Sri Lanka,Bangladesh,"The Oval, London",balanced,ODI,35.2,92.1,left,5,0,65,31,34,2,0,0
118,Mahmudullah,Bangladesh,Australia,Dubai International Stadium,spin,T20,33.9,76.8,right,6,0,90,0,1,0,0,0
119,Shakib Al Hasan,Bangladesh,New Zealand,"Lord's, London",pace,ODI,37.8,82.1,left,6,0,83,2,2,0,0,0
120,Brandon King,West Indies,South Africa,"Eden Gardens, Kolkata",balanced,ODI,35.8,91.2,right,2,0,84,0,1,0,0,1
121,Shimron Hetmyer,West Indies,Pakistan,"R. Premadasa Stadium, Colombo",spin,T20,31.2,98.7,left,6,0,80,19,16,1,0,0
122,Shreyas Iyer,India,South Africa,"The Oval, London",balanced,ODI,44.2,96.7,right,6,0,84,2,1,0,0,0
123,Aiden Markram,South Africa,Pakistan,"Gaddafi Stadium, Lahore",spin,ODI,38.9,87.1,right,3,0,80,3,3,0,0,0
124,Azmatullah Omarzai,Afghanistan,Pakistan,Sydney Cricket Ground,balanced,ODI,32.4,96.8,right,5,0,80,37,37,4,1,1
125,Tamim Iqbal,Bangladesh,West Indies,"The Oval, London",balanced,T20,36.1,80.5,left,2,0,68,30,38,3,0,0
126,Litton Das,Bangladesh,Australia,"Wankhede Stadium, Mumbai",batting,ODI,34.2,88.4,right,1,0,90,41,39,4,1,0
127,Travis Head,Australia,New Zealand,Sydney Cricket Ground,balanced,T20,44.9,101.3,left,6,1,83,6,5,0,0,1
128,Saud Shakeel,Pakistan,England,Sydney Cricket Ground,balanced,T20,46.3,82.4,left,6,0,85,12,14,0,0,0
129,Rohit Sharma,India,Pakistan,"Wankhede Stadium, Mumbai",batting,ODI,49.7,91.5,right,1,1,80,10,10,0,0,0
130,Heinrich Klaasen,South Africa,Sri Lanka,"Lord's, London",pace,T20,41.5,112.7,right,6,0,72,0,1,0,0,0
131,David Warner,Australia,Afghanistan,Dubai International Stadium,spin,T20,45.3,97.1,left,1,0,70,5,4,0,0,0
132,Tom Latham,New Zealand,West Indies,"Kensington Oval, Barbados",batting,T20,39.8,78.4,left,2,0,68,7,15,0,0,1
133,Tom Latham,New Zealand,Bangladesh,"The Oval, London",balanced,T20,39.8,78.4,left,1,0,65,0,1,0,0,1
134,Sadeera Samarawickrama,Sri Lanka,Afghanistan,Sydney Cricket Ground,balanced,T20,31.5,84.3,right,6,0,70,10,14,0,0,0
135,Hashmatullah Shahidi,Afghanistan,India,Dubai International Stadium,spin,T20,35.6,72.4,left,3,0,92,11,13,0,0,0
136,Aiden Markram,South Africa,Bangladesh,Melbourne Cricket Ground,pace,T20,38.9,87.1,right,4,0,65,2,2,0,0,0
137,Heinrich Klaasen,South Africa,Australia,"Gaddafi Stadium, Lahore",spin,T20,41.5,112.7,right,6,0,90,5,4,0,0,1
138,Rahmanullah Gurbaz,Afghanistan,South Africa,"R. Premadasa Stadium, Colombo",spin,ODI,38.1,102.5,right,2,0,84,8,7,0,0,0
139,Devon Conway,New Zealand,Bangladesh,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,45.2,85.7,left,1,0,65,16,14,1,0,0
140,Tamim Iqbal,Bangladesh,New Zealand,"Kensington Oval, Barbados",batting,T20,36.1,80.5,left,1,0,83,15,21,1,0,0
141,Najibullah Zadran,Afghanistan,New Zealand,"Hagley Oval, Christchurch",pace,T20,28.9,108.7,left,5,0,83,3,2,0,0,0
142,Ben Stokes,England,Sri Lanka,Dubai International Stadium,spin,T20,40.1,95.8,left,6,0,72,4,4,0,0,0
143,Shreyas Iyer,India,England,"Shere Bangla Stadium, Dhaka",spin,ODI,44.2,96.7,right,6,0,85,83,120,6,0,1
144,Shai Hope,West Indies,India,"The Oval, London",balanced,T20,40.2,78.6,right,1,0,92,24,42,1,0,0
145,Quinton de Kock,South Africa,India,Melbourne Cricket Ground,pace,T20,44.6,96.3,left,2,0,92,6,6,0,0,0
146,Shakib Al Hasan,Bangladesh,Australia,Dubai International Stadium,spin,T20,37.8,82.1,left,5,0,90,4,5,0,0,0
147,Mitchell Marsh,Australia,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,T20,38.5,92.6,right,6,0,72,3,3,0,0,0
148,Joe Root,England,New Zealand,"Lord's, London",pace,ODI,51.2,87.5,right,4,1,83,0,1,0,0,0
149,Shubman Gill,India,Pakistan,"Eden Gardens, Kolkata",balanced,T20,52.3,98.1,right,2,1,80,120,100,8,3,0
150,Kyle Mayers,West Indies,England,"Wankhede Stadium, Mumbai",batting,ODI,33.5,95.1,left,6,0,85,8,11,0,0,0
151,Kusal Mendis,Sri Lanka,India,"Newlands, Cape Town",pace,T20,33.8,89.2,right,3,0,92,36,37,3,1,0
152,Charith Asalanka,Sri Lanka,Pakistan,"MA Chidambaram Stadium, Chennai",spin,T20,35.2,92.1,left,6,0,80,3,2,0,0,0
153,Tom Latham,New Zealand,Pakistan,Dubai International Stadium,spin,T20,39.8,78.4,left,1,0,80,32,47,2,0,0
154,Dhananjaya de Silva,Sri Lanka,Bangladesh,"M. Chinnaswamy Stadium, Bangalore",batting,T20,37.1,86.5,right,5,0,65,37,45,3,1,0
155,Kyle Mayers,West Indies,England,Melbourne Cricket Ground,pace,ODI,33.5,95.1,left,6,0,85,4,4,0,0,0
156,Ibrahim Zadran,Afghanistan,Sri Lanka,"Lord's, London",pace,T20,41.2,82.3,right,1,0,72,11,12,0,0,0
157,David Miller,South Africa,Afghanistan,"MA Chidambaram Stadium, Chennai",spin,ODI,36.8,101.4,left,6,0,70,0,1,0,0,0
158,Pathum Nissanka,Sri Lanka,New Zealand,"M. Chinnaswamy Stadium, Bangalore",batting,T20,39.4,85.6,right,1,0,83,33,37,2,0,0
159,Hashmatullah Shahidi,Afghanistan,England,"R. Premadasa Stadium, Colombo",spin,ODI,35.6,72.4,left,4,0,85,17,21,1,0,0
160,Rassie van der Dussen,South Africa,Afghanistan,"MA Chidambaram Stadium, Chennai",spin,T20,48.2,84.5,right,5,0,70,79,102,8,1,0
161,Litton Das,Bangladesh,Afghanistan,"MA Chidambaram Stadium, Chennai",spin,T20,34.2,88.4,right,2,0,70,16,16,1,0,1
162,Devon Conway,New Zealand,Pakistan,"Wankhede Stadium, Mumbai",batting,ODI,45.2,85.7,left,1,0,80,6,7,0,0,0
163,Daryl Mitchell,New Zealand,Sri Lanka,"Shere Bangla Stadium, Dhaka",spin,ODI,43.1,93.5,right,6,0,72,200,193,18,6,0
164,Shai Hope,West Indies,England,"Shere Bangla Stadium, Dhaka",spin,ODI,40.2,78.6,right,2,0,85,14,17,1,0,0
165,Daryl Mitchell,New Zealand,Australia,"Hagley Oval, Christchurch",pace,ODI,43.1,93.5,right,6,1,90,1,1,0,0,0
166,Travis Head,Australia,Pakistan,"The Oval, London",balanced,T20,44.9,101.3,left,5,0,80,4,3,0,0,0
167,Tom Latham,New Zealand,Afghanistan,"The Oval, London",balanced,T20,39.8,78.4,left,1,0,70,0,1,0,0,0
168,Jonny Bairstow,England,South Africa,"Newlands, Cape Town",pace,T20,42.3,104.5,right,5,0,84,5,4,0,0,0
169,Ben Stokes,England,Australia,"The Oval, London",balanced,T20,40.1,95.8,left,5,1,90,11,11,0,0,1
170,Fakhar Zaman,Pakistan,Afghanistan,"Wankhede Stadium, Mumbai",batting,T20,42.1,94.3,left,2,0,70,0,1,0,0,0
171,Mitchell Marsh,Australia,West Indies,Dubai International Stadium,spin,T20,38.5,92.6,right,6,0,68,4,3,0,0,0
172,Rahmanullah Gurbaz,Afghanistan,England,"Eden Gardens, Kolkata",balanced,ODI,38.1,102.5,right,2,0,85,32,34,2,0,0
173,Shreyas Iyer,India,England,"Hagley Oval, Christchurch",pace,T20,44.2,96.7,right,5,0,85,16,16,1,0,0
174,Kyle Mayers,West Indies,Pakistan,Melbourne Cricket Ground,pace,ODI,33.5,95.1,left,6,0,80,7,8,0,0,0
175,Shreyas Iyer,India,West Indies,"Shere Bangla Stadium, Dhaka",spin,ODI,44.2,96.7,right,5,0,68,3,2,0,0,0
176,Rohit Sharma,India,England,"Lord's, London",pace,ODI,49.7,91.5,right,1,0,85,1,1,0,0,0
177,Kusal Mendis,Sri Lanka,Afghanistan,"Wankhede Stadium, Mumbai",batting,T20,33.8,89.2,right,4,0,70,7,7,0,0,0
178,Kusal Mendis,Sri Lanka,Australia,"Shere Bangla Stadium, Dhaka",spin,T20,33.8,89.2,right,4,0,90,16,18,1,0,0
179,Rohit Sharma,India,South Africa,"Lord's, London",pace,T20,49.7,91.5,right,1,0,84,30,34,3,0,0
180,Hashmatullah Shahidi,Afghanistan,Sri Lanka,"Lord's, London",pace,T20,35.6,72.4,left,4,0,72,4,5,0,0,0
181,Ibrahim Zadran,Afghanistan,New Zealand,"R. Premadasa Stadium, Colombo",spin,ODI,41.2,82.3,right,1,0,83,33,38,2,0,0
182,Ibrahim Zadran,Afghanistan,Australia,"Shere Bangla Stadium, Dhaka",spin,ODI,41.2,82.3,right,2,0,90,13,17,1,0,0
183,Tom Latham,New Zealand,India,"Wankhede Stadium, Mumbai",batting,T20,39.8,78.4,left,1,0,92,26,36,2,0,0
184,Harry Brook,England,New Zealand,Sydney Cricket Ground,balanced,ODI,48.7,103.2,right,5,0,83,25,26,1,0,1
185,David Miller,South Africa,New Zealand,"MA Chidambaram Stadium, Chennai",spin,ODI,36.8,101.4,left,6,0,83,45,54,2,0,0
186,Imam-ul-Haq,Pakistan,West Indies,Melbourne Cricket Ground,pace,ODI,49.5,79.1,left,2,0,68,20,19,1,0,0
187,Hashmatullah Shahidi,Afghanistan,Bangladesh,"Kensington Oval, Barbados",batting,T20,35.6,72.4,left,4,0,65,10,17,0,0,0
188,Shai Hope,West Indies,England,"Hagley Oval, Christchurch",pace,ODI,40.2,78.6,right,2,0,85,30,44,2,0,0
189,Tom Latham,New Zealand,Bangladesh,"Hagley Oval, Christchurch",pace,ODI,39.8,78.4,left,1,1,65,5,5,0,0,0
190,Azmatullah Omarzai,Afghanistan,West Indies,"Wankhede Stadium, Mumbai",batting,T20,32.4,96.8,right,6,0,68,15,16,1,0,0
191,Glenn Phillips,New Zealand,Australia,"Hagley Oval, Christchurch",pace,T20,35.6,98.2,right,5,1,90,21,21,2,0,0
192,Shai Hope,West Indies,South Africa,"Kensington Oval, Barbados",batting,ODI,40.2,78.6,right,1,1,84,72,88,5,1,0
193,Kusal Mendis,Sri Lanka,Bangladesh,"Eden Gardens, Kolkata",balanced,T20,33.8,89.2,right,4,0,65,15,16,1,0,0
194,Imam-ul-Haq,Pakistan,Australia,Dubai International Stadium,spin,ODI,49.5,79.1,left,2,0,90,47,55,4,0,0
195,Ibrahim Zadran,Afghanistan,Australia,"Lord's, London",pace,T20,41.2,82.3,right,1,0,90,15,17,1,0,1
196,Jonny Bairstow,England,New Zealand,"M. Chinnaswamy Stadium, Bangalore",batting,T20,42.3,104.5,right,5,0,83,1,1,0,0,0
197,David Miller,South Africa,England,"R. Premadasa Stadium, Colombo",spin,ODI,36.8,101.4,left,7,0,85,29,26,3,0,1
198,Jos Buttler,England,Sri Lanka,"The Oval, London",balanced,ODI,39.8,118.2,right,6,1,72,98,79,6,0,0
199,Daryl Mitchell,New Zealand,Pakistan,Melbourne Cricket Ground,pace,ODI,43.1,93.5,right,6,0,80,65,64,5,1,0
200,Ben Stokes,England,Sri Lanka,"R. Premadasa Stadium, Colombo",spin,ODI,40.1,95.8,left,5,0,72,10,10,0,0,0
201,David Miller,South Africa,India,"Hagley Oval, Christchurch",pace,ODI,36.8,101.4,left,6,0,92,6,6,0,0,1
202,Mohammad Rizwan,Pakistan,South Africa,"Lord's, London",pace,T20,44.8,81.2,right,5,0,84,19,22,1,0,1
