innings_id,bowler,team,opponent,venue,pitch_type,match_format,bowling_avg,bowling_sr,bowling_econ,bowling_type,is_home,opponent_strength,overs_bowled,runs_conceded,wickets_taken,maidens,dot_balls
13,Mehidy Hasan Miraz,Bangladesh,West Indies,"R. Premadasa Stadium, Colombo",spin,T20,32.1,38.5,4.7,spin,0,68,4,21,1,0,10
14,Matt Henry,New Zealand,England,Dubai International Stadium,spin,ODI,26.2,28.8,5.0,fast,0,85,8,48,4,1,17
15,Mohammed Shami,India,England,Dubai International Stadium,spin,ODI,26.1,28.7,5.2,fast,0,85,8,60,2,0,16
16,Mustafizur Rahman,Bangladesh,Pakistan,"Newlands, Cape Town",pace,T20,28.7,33.1,5.0,fast,0,80,4,18,3,0,11
17,Haris Rauf,Pakistan,South Africa,Sydney Cricket Ground,balanced,T20,27.3,30.1,5.6,fast,0,84,4,30,1,0,7
18,Mustafizur Rahman,Bangladesh,Afghanistan,"Shere Bangla Stadium, Dhaka",spin,T20,28.7,33.1,5.0,fast,1,70,4,28,2,0,12
19,Moeen Ali,England,West Indies,"Eden Gardens, Kolkata",balanced,T20,36.8,43.2,5.3,spin,0,68,2,4,0,0,6
20,Glenn Maxwell,Australia,New Zealand,"Lord's, London",pace,T20,42.1,52.3,5.5,spin,0,83,4,33,1,0,6
21,Mark Wood,England,Pakistan,"The Oval, London",balanced,ODI,28.9,31.2,5.6,fast,1,80,10,42,7,1,34
22,Lungi Ngidi,South Africa,Bangladesh,"M. Chinnaswamy Stadium, Bangalore",batting,T20,26.3,29.7,5.4,fast,0,65,4,38,1,0,5
23,Mohammed Siraj,India,England,"Hagley Oval, Christchurch",pace,ODI,28.4,31.9,5.4,fast,0,85,6,37,2,1,14
24,Pat Cummins,Australia,West Indies,"Newlands, Cape Town",pace,T20,25.7,29.8,5.0,fast,0,68,4,22,2,0,11
25,Lockie Ferguson,New Zealand,Afghanistan,"MA Chidambaram Stadium, Chennai",spin,ODI,24.5,26.4,5.3,fast,0,70,10,59,6,1,20
26,Noor Ahmad,Afghanistan,India,"Shere Bangla Stadium, Dhaka",spin,T20,27.5,31.8,4.7,spin,0,92,2,17,0,0,5
27,Shadab Khan,Pakistan,West Indies,"Eden Gardens, Kolkata",balanced,T20,30.8,36.4,5.2,spin,0,68,4,17,2,0,10
28,Dushmantha Chameera,Sri Lanka,New Zealand,"Kensington Oval, Barbados",batting,ODI,29.1,33.8,5.5,fast,0,83,10,62,3,1,17
29,Wanindu Hasaranga,Sri Lanka,New Zealand,Sydney Cricket Ground,balanced,ODI,24.8,28.2,5.0,spin,0,83,7,33,1,0,16
30,Glenn Maxwell,Australia,England,"Gaddafi Stadium, Lahore",spin,T20,42.1,52.3,5.5,spin,0,85,2,13,1,0,3
31,Adam Zampa,Australia,Afghanistan,"R. Premadasa Stadium, Colombo",spin,T20,29.3,35.2,5.1,spin,0,70,4,13,3,0,11
32,Matt Henry,New Zealand,South Africa,"Kensington Oval, Barbados",batting,ODI,26.2,28.8,5.0,fast,0,84,8,39,1,0,20
33,Dushmantha Chameera,Sri Lanka,New Zealand,"Eden Gardens, Kolkata",balanced,T20,29.1,33.8,5.5,fast,0,83,4,29,3,0,8
34,Tim Southee,New Zealand,England,"Kensington Oval, Barbados",batting,T20,29.8,33.5,5.4,fast,0,85,4,25,2,0,6
35,Keshav Maharaj,South Africa,India,"Shere Bangla Stadium, Dhaka",spin,T20,31.5,38.2,4.8,spin,0,92,4,16,1,0,10
36,Mohammad Nawaz,Pakistan,Bangladesh,"R. Premadasa Stadium, Colombo",spin,ODI,35.2,41.5,5.0,spin,0,65,7,28,3,0,20
37,Maheesh Theekshana,Sri Lanka,West Indies,"The Oval, London",balanced,T20,26.5,30.1,4.8,spin,0,68,3,10,1,0,10
38,Reece Topley,England,West Indies,"Lord's, London",pace,T20,26.7,29.8,5.2,fast,1,68,4,22,4,0,8
39,Lockie Ferguson,New Zealand,Pakistan,"Lord's, London",pace,T20,24.5,26.4,5.3,fast,0,80,4,20,3,0,9
40,Shoriful Islam,Bangladesh,Afghanistan,"Eden Gardens, Kolkata",balanced,T20,31.4,36.2,5.5,fast,0,70,4,38,2,0,5
41,Mitchell Starc,Australia,New Zealand,"Shere Bangla Stadium, Dhaka",spin,ODI,24.8,27.3,5.3,fast,0,83,6,26,3,0,13
42,Adil Rashid,England,Australia,Sydney Cricket Ground,balanced,ODI,33.5,38.7,5.4,spin,0,90,8,50,3,0,16
43,Wanindu Hasaranga,Sri Lanka,India,Sydney Cricket Ground,balanced,T20,24.8,28.2,5.0,spin,0,92,3,18,0,0,7
44,Trent Boult,New Zealand,Pakistan,"Newlands, Cape Town",pace,ODI,25.6,29.1,5.1,fast,0,80,8,23,6,0,25
45,Anrich Nortje,South Africa,West Indies,Dubai International Stadium,spin,T20,24.8,26.9,5.5,fast,0,68,3,18,2,0,5
46,Chris Woakes,England,Pakistan,"R. Premadasa Stadium, Colombo",spin,T20,30.2,35.1,5.1,fast,0,80,4,28,1,0,12
47,Trent Boult,New Zealand,Sri Lanka,Melbourne Cricket Ground,pace,ODI,25.6,29.1,5.1,fast,0,72,9,31,6,0,20
48,Trent Boult,New Zealand,West Indies,"Gaddafi Stadium, Lahore",spin,ODI,25.6,29.1,5.1,fast,0,68,9,47,5,0,21
49,Trent Boult,New Zealand,Sri Lanka,"Newlands, Cape Town",pace,ODI,25.6,29.1,5.1,fast,0,72,10,51,4,0,27
50,Trent Boult,New Zealand,Australia,Dubai International Stadium,spin,ODI,25.6,29.1,5.1,fast,0,90,10,64,3,1,21
51,Mitchell Starc,Australia,England,"Kensington Oval, Barbados",batting,T20,24.8,27.3,5.3,fast,0,85,4,24,2,0,7
52,Mark Wood,England,West Indies,"M. Chinnaswamy Stadium, Bangalore",batting,T20,28.9,31.2,5.6,fast,0,68,4,22,2,0,6
53,Fazalhaq Farooqi,Afghanistan,South Africa,"Lord's, London",pace,ODI,24.2,26.8,5.1,fast,0,84,6,40,3,1,14
54,Chris Woakes,England,South Africa,Melbourne Cricket Ground,pace,ODI,30.2,35.1,5.1,fast,0,84,6,32,1,2,13
55,Shaheen Afridi,Pakistan,India,"Wankhede Stadium, Mumbai",batting,ODI,24.1,27.5,5.1,fast,0,92,7,47,2,0,13
56,Maheesh Theekshana,Sri Lanka,New Zealand,"Shere Bangla Stadium, Dhaka",spin,ODI,26.5,30.1,4.8,spin,0,83,10,43,5,3,28
57,Glenn Maxwell,Australia,West Indies,"Newlands, Cape Town",pace,T20,42.1,52.3,5.5,spin,0,68,4,24,2,0,6
58,Mehidy Hasan Miraz,Bangladesh,South Africa,"Gaddafi Stadium, Lahore",spin,ODI,32.1,38.5,4.7,spin,0,84,8,39,7,2,23
59,Taskin Ahmed,Bangladesh,Pakistan,"R. Premadasa Stadium, Colombo",spin,T20,30.5,35.8,5.4,fast,0,80,4,29,3,0,4
60,Dushmantha Chameera,Sri Lanka,Pakistan,Melbourne Cricket Ground,pace,ODI,29.1,33.8,5.5,fast,0,80,8,44,6,0,18
61,Alzarri Joseph,West Indies,New Zealand,"Lord's, London",pace,ODI,27.5,30.8,5.3,fast,0,83,8,48,7,0,17
62,Dilshan Madushanka,Sri Lanka,New Zealand,"Kensington Oval, Barbados",batting,T20,28.3,32.5,5.3,fast,0,83,3,22,2,0,4
63,Anrich Nortje,South Africa,England,"The Oval, London",balanced,ODI,24.8,26.9,5.5,fast,0,85,10,55,2,2,28
64,Mitchell Starc,Australia,India,"Lord's, London",pace,ODI,24.8,27.3,5.3,fast,0,92,8,49,4,2,19
65,Lockie Ferguson,New Zealand,Sri Lanka,"Wankhede Stadium, Mumbai",batting,T20,24.5,26.4,5.3,fast,0,72,3,18,1,0,5
66,Dunith Wellalage,Sri Lanka,Pakistan,"R. Premadasa Stadium, Colombo",spin,T20,30.2,35.4,4.9,spin,1,80,3,13,3,0,6
67,Dushmantha Chameera,Sri Lanka,India,"Hagley Oval, Christchurch",pace,ODI,29.1,33.8,5.5,fast,0,92,8,24,2,1,25
68,Lockie Ferguson,New Zealand,Afghanistan,"M. Chinnaswamy Stadium, Bangalore",batting,T20,24.5,26.4,5.3,fast,0,70,3,25,1,0,5
69,Shakib Al Hasan,Bangladesh,England,"Kensington Oval, Barbados",batting,T20,33.8,40.2,4.6,spin,0,85,4,31,0,0,7
70,Marco Jansen,South Africa,New Zealand,"Kensington Oval, Barbados",batting,ODI,27.1,31.4,5.0,fast,0,83,9,64,2,0,22
71,Maheesh Theekshana,Sri Lanka,Pakistan,"The Oval, London",balanced,T20,26.5,30.1,4.8,spin,0,80,4,12,1,0,11
72,Mark Wood,England,Australia,Dubai International Stadium,spin,ODI,28.9,31.2,5.6,fast,0,90,10,36,2,0,35
73,Dunith Wellalage,Sri Lanka,Australia,"Gaddafi Stadium, Lahore",spin,T20,30.2,35.4,4.9,spin,0,90,4,29,2,0,10
74,Adil Rashid,England,Pakistan,"Lord's, London",pace,ODI,33.5,38.7,5.4,spin,1,80,10,50,4,0,25
75,Moeen Ali,England,Australia,"Lord's, London",pace,ODI,36.8,43.2,5.3,spin,1,90,7,41,4,1,12
76,Rashid Khan,Afghanistan,England,Dubai International Stadium,spin,ODI,18.5,22.3,4.1,spin,0,85,9,56,7,1,19
77,Anrich Nortje,South Africa,Australia,Melbourne Cricket Ground,pace,ODI,24.8,26.9,5.5,fast,0,90,6,33,3,1,19
78,Matt Henry,New Zealand,Afghanistan,"Shere Bangla Stadium, Dhaka",spin,T20,26.2,28.8,5.0,fast,0,70,4,31,2,0,8
79,Shaheen Afridi,Pakistan,Bangladesh,"R. Premadasa Stadium, Colombo",spin,ODI,24.1,27.5,5.1,fast,0,65,9,47,4,1,17
80,Dushmantha Chameera,Sri Lanka,Afghanistan,"MA Chidambaram Stadium, Chennai",spin,T20,29.1,33.8,5.5,fast,0,70,4,37,1,0,5
81,Marco Jansen,South Africa,India,"MA Chidambaram Stadium, Chennai",spin,T20,27.1,31.4,5.0,fast,0,92,4,36,1,0,8
82,Mehidy Hasan Miraz,Bangladesh,Australia,Dubai International Stadium,spin,ODI,32.1,38.5,4.7,spin,0,90,9,19,2,2,28
83,Glenn Maxwell,Australia,Bangladesh,"Eden Gardens, Kolkata",balanced,T20,42.1,52.3,5.5,spin,0,65,4,16,4,0,9
84,Mohammad Nawaz,Pakistan,Australia,"Eden Gardens, Kolkata",balanced,T20,35.2,41.5,5.0,spin,0,90,4,17,2,0,8
85,Shadab Khan,Pakistan,England,"Eden Gardens, Kolkata",balanced,T20,30.8,36.4,5.2,spin,0,85,3,15,1,0,3
86,Mujeeb Ur Rahman,Afghanistan,Bangladesh,Melbourne Cricket Ground,pace,ODI,25.1,29.5,4.5,spin,0,65,9,44,6,1,22
87,Jason Holder,West Indies,India,"MA Chidambaram Stadium, Chennai",spin,ODI,31.2,37.5,5.0,fast,0,92,10,22,5,1,35
88,Anrich Nortje,South Africa,Bangladesh,"Hagley Oval, Christchurch",pace,ODI,24.8,26.9,5.5,fast,0,65,10,37,7,0,31
89,Glenn Maxwell,Australia,Afghanistan,"Hagley Oval, Christchurch",pace,ODI,42.1,52.3,5.5,spin,0,70,8,29,3,0,20
90,Mustafizur Rahman,Bangladesh,England,Sydney Cricket Ground,balanced,T20,28.7,33.1,5.0,fast,0,85,2,9,2,0,5
91,Mitchell Santner,New Zealand,England,"Kensington Oval, Barbados",batting,T20,35.1,42.3,4.7,spin,0,85,4,28,1,0,8
92,Mohammed Shami,India,Australia,"Lord's, London",pace,T20,26.1,28.7,5.2,fast,0,90,4,17,2,0,10
93,Fazalhaq Farooqi,Afghanistan,New Zealand,"Wankhede Stadium, Mumbai",batting,ODI,24.2,26.8,5.1,fast,0,83,9,52,3,0,28
94,Noor Ahmad,Afghanistan,West Indies,"Hagley Oval, Christchurch",pace,T20,27.5,31.8,4.7,spin,0,68,4,29,4,0,9
95,Dunith Wellalage,Sri Lanka,Afghanistan,"MA Chidambaram Stadium, Chennai",spin,ODI,30.2,35.4,4.9,spin,0,70,9,37,6,1,22
96,Shaheen Afridi,Pakistan,Bangladesh,"Shere Bangla Stadium, Dhaka",spin,ODI,24.1,27.5,5.1,fast,0,65,6,15,4,0,16
97,Matt Henry,New Zealand,India,"Hagley Oval, Christchurch",pace,T20,26.2,28.8,5.0,fast,1,92,4,31,2,0,6
98,Marco Jansen,South Africa,West Indies,"Shere Bangla Stadium, Dhaka",spin,T20,27.1,31.4,5.0,fast,0,68,4,24,4,0,8
99,Moeen Ali,England,Australia,"Lord's, London",pace,T20,36.8,43.2,5.3,spin,1,90,3,28,1,0,5
100,Moeen Ali,England,Sri Lanka,"Kensington Oval, Barbados",batting,T20,36.8,43.2,5.3,spin,0,72,4,35,0,0,4
101,Haris Rauf,Pakistan,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,ODI,27.3,30.1,5.6,fast,0,72,5,34,2,0,12
102,Adam Zampa,Australia,South Africa,"MA Chidambaram Stadium, Chennai",spin,T20,29.3,35.2,5.1,spin,0,84,4,19,2,0,7
103,Haris Rauf,Pakistan,England,"Newlands, Cape Town",pace,ODI,27.3,30.1,5.6,fast,0,85,6,23,3,0,18
104,Fazalhaq Farooqi,Afghanistan,New Zealand,"Eden Gardens, Kolkata",balanced,ODI,24.2,26.8,5.1,fast,0,83,10,47,7,0,31
105,Matt Henry,New Zealand,Pakistan,"Kensington Oval, Barbados",batting,T20,26.2,28.8,5.0,fast,0,80,4,39,2,0,8
106,Moeen Ali,England,South Africa,"Eden Gardens, Kolkata",balanced,T20,36.8,43.2,5.3,spin,0,84,3,32,3,0,3
107,Mark Wood,England,New Zealand,"The Oval, London",balanced,ODI,28.9,31.2,5.6,fast,1,83,5,23,1,1,10
108,Glenn Maxwell,Australia,Sri Lanka,"Shere Bangla Stadium, Dhaka",spin,ODI,42.1,52.3,5.5,spin,0,72,7,26,6,1,18
109,Mohammed Shami,India,Pakistan,"Lord's, London",pace,T20,26.1,28.7,5.2,fast,0,80,4,23,3,0,9
110,Pat Cummins,Australia,New Zealand,"Hagley Oval, Christchurch",pace,ODI,25.7,29.8,5.0,fast,0,83,10,38,6,0,29
111,Mustafizur Rahman,Bangladesh,Sri Lanka,Dubai International Stadium,spin,ODI,28.7,33.1,5.0,fast,0,72,7,48,3,1,11
112,Wanindu Hasaranga,Sri Lanka,Afghanistan,"MA Chidambaram Stadium, Chennai",spin,ODI,24.8,28.2,5.0,spin,0,70,10,63,7,0,25
113,Mohammed Shami,India,New Zealand,"Newlands, Cape Town",pace,ODI,26.1,28.7,5.2,fast,0,83,10,55,4,0,28
114,Ravindra Jadeja,India,England,"Newlands, Cape Town",pace,T20,32.5,42.1,4.8,spin,0,85,3,25,0,0,6
115,Trent Boult,New Zealand,Bangladesh,"The Oval, London",balanced,T20,25.6,29.1,5.1,fast,0,65,4,25,3,0,7
116,Glenn Maxwell,Australia,Sri Lanka,"Wankhede Stadium, Mumbai",batting,T20,42.1,52.3,5.5,spin,0,72,4,36,0,0,6
117,Mohammad Nawaz,Pakistan,England,Melbourne Cricket Ground,pace,ODI,35.2,41.5,5.0,spin,0,85,8,32,2,0,19
118,Jayden Seales,West Indies,England,"Newlands, Cape Town",pace,T20,30.1,35.2,5.4,fast,0,85,4,26,2,0,8
119,Alzarri Joseph,West Indies,Pakistan,"MA Chidambaram Stadium, Chennai",spin,ODI,27.5,30.8,5.3,fast,0,80,6,11,1,1,18
120,Mitchell Starc,Australia,Sri Lanka,Sydney Cricket Ground,balanced,T20,24.8,27.3,5.3,fast,1,72,4,20,2,0,8
121,Lockie Ferguson,New Zealand,Australia,"Eden Gardens, Kolkata",balanced,T20,24.5,26.4,5.3,fast,0,90,2,9,1,0,4
122,Adam Zampa,Australia,England,Dubai International Stadium,spin,T20,29.3,35.2,5.1,spin,0,85,3,3,2,0,11
123,Trent Boult,New Zealand,Pakistan,"MA Chidambaram Stadium, Chennai",spin,ODI,25.6,29.1,5.1,fast,0,80,7,22,4,0,23
124,Adam Zampa,Australia,England,"R. Premadasa Stadium, Colombo",spin,ODI,29.3,35.2,5.1,spin,0,85,7,15,3,0,23
125,Jasprit Bumrah,India,South Africa,"Hagley Oval, Christchurch",pace,T20,24.3,30.2,4.5,fast,0,84,4,20,3,0,9
126,Mohammed Siraj,India,Sri Lanka,"Gaddafi Stadium, Lahore",spin,T20,28.4,31.9,5.4,fast,0,72,3,26,2,0,5
127,Mark Wood,England,New Zealand,Dubai International Stadium,spin,T20,28.9,31.2,5.6,fast,0,83,3,21,2,0,5
128,Dunith Wellalage,Sri Lanka,South Africa,"MA Chidambaram Stadium, Chennai",spin,ODI,30.2,35.4,4.9,spin,0,84,10,52,6,3,27
129,Adam Zampa,Australia,Sri Lanka,Dubai International Stadium,spin,ODI,29.3,35.2,5.1,spin,0,72,5,8,3,0,17
130,Reece Topley,England,South Africa,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,26.7,29.8,5.2,fast,0,84,5,27,2,0,16
131,Shaheen Afridi,Pakistan,Australia,Melbourne Cricket Ground,pace,T20,24.1,27.5,5.1,fast,0,90,4,39,4,0,4
132,Naseem Shah,Pakistan,Bangladesh,"Newlands, Cape Town",pace,ODI,28.5,32.1,5.3,fast,0,65,10,23,7,1,34
133,Haris Rauf,Pakistan,India,Dubai International Stadium,spin,T20,27.3,30.1,5.6,fast,0,92,4,23,1,0,7
134,Anrich Nortje,South Africa,Bangladesh,"Newlands, Cape Town",pace,T20,24.8,26.9,5.5,fast,1,65,2,12,2,0,4
135,Keshav Maharaj,South Africa,Pakistan,Melbourne Cricket Ground,pace,T20,31.5,38.2,4.8,spin,0,80,4,12,1,0,14
136,Jasprit Bumrah,India,South Africa,"R. Premadasa Stadium, Colombo",spin,ODI,24.3,30.2,4.5,fast,0,84,8,53,5,1,21
137,Noor Ahmad,Afghanistan,West Indies,"Lord's, London",pace,ODI,27.5,31.8,4.7,spin,0,68,7,31,3,0,22
138,Pat Cummins,Australia,South Africa,"Eden Gardens, Kolkata",balanced,ODI,25.7,29.8,5.0,fast,0,84,7,53,1,0,10
139,Josh Hazlewood,Australia,India,"Gaddafi Stadium, Lahore",spin,T20,25.1,30.5,4.7,fast,0,92,3,17,2,0,5
140,Keshav Maharaj,South Africa,Sri Lanka,"Wankhede Stadium, Mumbai",batting,ODI,31.5,38.2,4.8,spin,0,72,10,55,4,2,27
141,Mohammad Nawaz,Pakistan,New Zealand,"Wankhede Stadium, Mumbai",batting,ODI,35.2,41.5,5.0,spin,0,83,8,57,1,0,14
142,Mustafizur Rahman,Bangladesh,Afghanistan,"MA Chidambaram Stadium, Chennai",spin,T20,28.7,33.1,5.0,fast,0,70,4,26,2,0,10
143,Shadab Khan,Pakistan,South Africa,"Shere Bangla Stadium, Dhaka",spin,ODI,30.8,36.4,5.2,spin,0,84,10,25,6,1,36
144,Mitchell Starc,Australia,Bangladesh,"Kensington Oval, Barbados",batting,T20,24.8,27.3,5.3,fast,0,65,2,18,2,0,3
145,Jayden Seales,West Indies,Bangladesh,"Lord's, London",pace,T20,30.1,35.2,5.4,fast,0,65,4,26,2,0,10
146,Mehidy Hasan Miraz,Bangladesh,Afghanistan,"R. Premadasa Stadium, Colombo",spin,T20,32.1,38.5,4.7,spin,0,70,4,17,3,0,7
147,Fazalhaq Farooqi,Afghanistan,Sri Lanka,"M. Chinnaswamy Stadium, Bangalore",batting,T20,24.2,26.8,5.1,fast,0,72,4,37,2,0,6
148,Mitchell Santner,New Zealand,South Africa,"Newlands, Cape Town",pace,ODI,35.1,42.3,4.7,spin,0,84,7,17,0,1,22
149,Jasprit Bumrah,India,New Zealand,"Kensington Oval, Barbados",batting,ODI,24.3,30.2,4.5,fast,0,83,6,31,1,2,13
150,Mark Wood,England,Bangladesh,"Lord's, London",pace,T20,28.9,31.2,5.6,fast,1,65,3,16,2,0,6
151,Lockie Ferguson,New Zealand,England,"Wankhede Stadium, Mumbai",batting,ODI,24.5,26.4,5.3,fast,0,85,8,29,2,2,22
152,Dunith Wellalage,Sri Lanka,Pakistan,"Gaddafi Stadium, Lahore",spin,ODI,30.2,35.4,4.9,spin,0,80,5,17,5,0,16
153,Tim Southee,New Zealand,West Indies,Dubai International Stadium,spin,T20,29.8,33.5,5.4,fast,0,68,4,23,1,0,8
154,Jason Holder,West Indies,Pakistan,Melbourne Cricket Ground,pace,T20,31.2,37.5,5.0,fast,0,80,4,23,1,0,9
155,Josh Hazlewood,Australia,New Zealand,"MA Chidambaram Stadium, Chennai",spin,ODI,25.1,30.5,4.7,fast,0,83,10,55,7,2,23
156,Reece Topley,England,Australia,Sydney Cricket Ground,balanced,T20,26.7,29.8,5.2,fast,0,90,4,33,1,0,4
157,Adil Rashid,England,India,"Newlands, Cape Town",pace,T20,33.5,38.7,5.4,spin,0,92,2,7,1,0,4
158,Ravindra Jadeja,India,South Africa,"MA Chidambaram Stadium, Chennai",spin,ODI,32.5,42.1,4.8,spin,1,84,6,8,3,1,23
159,Marco Jansen,South Africa,New Zealand,"Gaddafi Stadium, Lahore",spin,ODI,27.1,31.4,5.0,fast,0,83,10,54,5,1,26
160,Mohammad Nawaz,Pakistan,West Indies,"Hagley Oval, Christchurch",pace,T20,35.2,41.5,5.0,spin,0,68,4,22,2,0,9
161,Haris Rauf,Pakistan,Afghanistan,"The Oval, London",balanced,T20,27.3,30.1,5.6,fast,0,70,4,25,3,0,7
162,Jason Holder,West Indies,England,"Eden Gardens, Kolkata",balanced,T20,31.2,37.5,5.0,fast,0,85,3,20,0,0,8
163,Tim Southee,New Zealand,Pakistan,Dubai International Stadium,spin,T20,29.8,33.5,5.4,fast,0,80,3,23,3,0,5
164,Mohammad Nawaz,Pakistan,Sri Lanka,"Newlands, Cape Town",pace,ODI,35.2,41.5,5.0,spin,0,72,8,29,2,2,26
165,Glenn Maxwell,Australia,Pakistan,"Wankhede Stadium, Mumbai",batting,T20,42.1,52.3,5.5,spin,0,80,3,26,0,0,7
166,Josh Hazlewood,Australia,West Indies,"Kensington Oval, Barbados",batting,ODI,25.1,30.5,4.7,fast,0,68,8,53,1,1,16
167,Mustafizur Rahman,Bangladesh,New Zealand,Melbourne Cricket Ground,pace,ODI,28.7,33.1,5.0,fast,0,83,10,64,7,1,22
168,Moeen Ali,England,Pakistan,Dubai International Stadium,spin,ODI,36.8,43.2,5.3,spin,0,80,7,38,4,0,15
169,Dushmantha Chameera,Sri Lanka,Bangladesh,"Shere Bangla Stadium, Dhaka",spin,ODI,29.1,33.8,5.5,fast,0,65,8,43,4,1,21
170,Trent Boult,New Zealand,England,"R. Premadasa Stadium, Colombo",spin,ODI,25.6,29.1,5.1,fast,0,85,9,36,3,1,34
171,Akeal Hosein,West Indies,England,"Gaddafi Stadium, Lahore",spin,ODI,29.8,34.1,4.8,spin,0,85,9,37,6,1,27
172,Mehidy Hasan Miraz,Bangladesh,Pakistan,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,32.1,38.5,4.7,spin,0,80,9,47,5,1,23
173,Naveen-ul-Haq,Afghanistan,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,ODI,26.8,30.2,5.3,fast,0,72,10,52,2,2,31
174,Lungi Ngidi,South Africa,Pakistan,Sydney Cricket Ground,balanced,ODI,26.3,29.7,5.4,fast,0,80,10,75,4,1,20
175,Josh Hazlewood,Australia,India,"Shere Bangla Stadium, Dhaka",spin,ODI,25.1,30.5,4.7,fast,0,92,10,53,3,2,25
176,Ravindra Jadeja,India,England,Melbourne Cricket Ground,pace,T20,32.5,42.1,4.8,spin,0,85,4,36,1,0,7
177,Shakib Al Hasan,Bangladesh,Australia,"Newlands, Cape Town",pace,ODI,33.8,40.2,4.6,spin,0,90,7,24,2,0,19
178,Gudakesh Motie,West Indies,England,"M. Chinnaswamy Stadium, Bangalore",batting,T20,28.5,32.6,4.5,spin,0,85,4,25,1,0,8
179,Mitchell Starc,Australia,South Africa,"MA Chidambaram Stadium, Chennai",spin,ODI,24.8,27.3,5.3,fast,0,84,10,25,6,1,32
180,Moeen Ali,England,Bangladesh,"Wankhede Stadium, Mumbai",batting,T20,36.8,43.2,5.3,spin,0,65,4,11,3,0,11
181,Mitchell Starc,Australia,England,Melbourne Cricket Ground,pace,ODI,24.8,27.3,5.3,fast,1,85,7,31,5,0,25
182,Kuldeep Yadav,India,West Indies,"Gaddafi Stadium, Lahore",spin,ODI,27.8,33.5,5.1,spin,0,68,10,50,7,1,24
183,Mujeeb Ur Rahman,Afghanistan,Pakistan,Sydney Cricket Ground,balanced,T20,25.1,29.5,4.5,spin,0,80,4,16,4,0,10
184,Kuldeep Yadav,India,Australia,"Newlands, Cape Town",pace,T20,27.8,33.5,5.1,spin,0,90,3,18,2,0,7
185,Matt Henry,New Zealand,South Africa,"Gaddafi Stadium, Lahore",spin,ODI,26.2,28.8,5.0,fast,0,84,7,26,3,1,22
186,Haris Rauf,Pakistan,South Africa,"MA Chidambaram Stadium, Chennai",spin,T20,27.3,30.1,5.6,fast,0,84,4,28,4,0,8
187,Shadab Khan,Pakistan,India,"Hagley Oval, Christchurch",pace,ODI,30.8,36.4,5.2,spin,0,92,6,27,2,0,17
188,Shakib Al Hasan,Bangladesh,South Africa,"Lord's, London",pace,ODI,33.8,40.2,4.6,spin,0,84,8,28,4,2,27
189,Akeal Hosein,West Indies,Sri Lanka,"Eden Gardens, Kolkata",balanced,T20,29.8,34.1,4.8,spin,0,72,4,30,1,0,10
190,Mohammed Siraj,India,England,Dubai International Stadium,spin,ODI,28.4,31.9,5.4,fast,0,85,10,48,4,1,28
191,Trent Boult,New Zealand,Sri Lanka,"Hagley Oval, Christchurch",pace,T20,25.6,29.1,5.1,fast,1,72,3,33,3,0,7
192,Kagiso Rabada,South Africa,Pakistan,Sydney Cricket Ground,balanced,ODI,25.4,28.6,5.2,fast,0,80,9,54,3,1,18
